date,state,fips,cases,deaths
2018/1/1,Candy Crush Saga,39309045,1,0
2018/1/1,Fantasy Westward Journey,43522618,1,0
2018/1/1,Fate/Grand Order,122385564,1,0
2018/1/1,GranBlue Fantasy,19937077,1,0
2018/1/1,Honour of Kings,108457107,1,0
2018/1/1,Lineage 2 Revolution,24950709,1,0
2018/1/1,Monster Strike,146665288,1,0
2018/1/1,MU Awakening,38069295,1,0
2018/1/1,Puzzle ; Dragons,37519101,1,0
2018/1/1,QQ Speed,65419108,1,0
2018/2/1,A Dream of Jianghu,42941194,1,0
2018/2/1,Candy Crush Saga,33307499,1,0
2018/2/1,Dragon Ball Z Dokkan Battle,36088308,1,0
2018/2/1,Fantasy Westward Journey,60644220,1,0
2018/2/1,Fate/Grand Order,84736371,1,0
2018/2/1,Honour of Kings,123002574,1,0
2018/2/1,Knives Out,26825805,1,0
2018/2/1,Monster Strike,54040269,1,0
2018/2/1,MU Awakening,27106337,1,0
2018/2/1,QQ Speed,78768064,1,0
2018/3/1,A Dream of Jianghu,51653992,1,0
2018/3/1,Candy Crush Saga,39954283,1,0
2018/3/1,Fantasy Westward Journey,72125520,1,0
2018/3/1,Fate/Grand Order,49435978,1,0
2018/3/1,Honour of Kings,110355240,1,0
2018/3/1,Knives Out,33055251,1,0
2018/3/1,Monster Strike,38203014,1,0
2018/3/1,Pokémon GO,25261781,1,0
2018/3/1,QQ Speed,78506147,1,0
2018/4/1,Westward Journey Online,25170078,1,0
2018/4/1,Candy Crush Saga,39309045,1,0
2018/4/1,Fantasy Westward Journey,43522618,1,0
2018/4/1,Fate/Grand Order,122385564,1,0
2018/4/1,GranBlue Fantasy,19937077,1,0
2018/4/1,Honour of Kings,108457107,1,0
2018/4/1,Lineage 2 Revolution,24950709,1,0
2018/4/1,Monster Strike,146665288,1,0
2018/4/1,MU Awakening,38069295,1,0
2018/4/1,Puzzle ; Dragons,37519101,1,0
